CustomerKey;FirstName;LastName;FullName;Gender;DateFirstPurchase;Customer City;Customer City 2
11029;Jimmy;Moreno;Jimmy Moreno;Male;19/1/2020;Bendigo;Paraná
11030;Bethany;Yuan;Bethany Yuan;Female;5/2/2020;Cloverdale;Bahía Blanca
11031;Theresa;Ramos;Theresa Ramos;Female;1/2/2020;Matraville;Posadas
11032;Denise;Stone;Denise Stone;Female;18/2/2020;Melbourne;Rosario
11033;Jaime;Nath;Jaime Nath;Male;15/2/2020;Milsons Point;Salta
11034;Ebony;Gonzalez;Ebony Gonzalez;Female;1/2/2020;North Sydney;Mar del Plata
11035;Wendy;Dominguez;Wendy Dominguez;Female;6/2/2020;Cranbourne;La Plata
11036;Jennifer;Russell;Jennifer Russell;Female;22/1/2022;National City;Formosa
11037;Chloe;Garcia;Chloe Garcia;Female;20/1/2022;Cliffside;Berazategui
11038;Diana;Hernandez;Diana Hernandez;Female;7/2/2020;Lavender Bay;San Miguel de Tucumán
11039;Marc;Martin;Marc Martin;Male;7/2/2020;Wollongong;Santiago del Estero
11040;Jesse;Murphy;Jesse Murphy;Male;3/4/2022;Tacoma;Posadas
11041;Amanda;Carter;Amanda Carter;Female;14/1/2022;Glendale;Moreno
11042;Megan;Sanchez;Megan Sanchez;Female;21/1/2022;Los Angeles;Buenos Aires
11043;Nathan;Simmons;Nathan Simmons;Male;8/5/2022;Glendale;Moreno
11044;Adam;Flores;Adam Flores;Male;28/2/2020;Hervey Bay;Banfield
11045;Leonard;Nara;Leonard Nara;Male;10/4/2022;Matraville;Posadas
11046;Christine;Yuan;Christine Yuan;Female;6/2/2020;Lavender Bay;San Miguel de Tucumán
11047;Jaclyn;Lu;Jaclyn Lu;Female;3/2/2020;Geelong;San Luis
11048;Jeremy;Powell;Jeremy Powell;Male;10/2/2020;Sunbury;San Miguel de Tucumán
11049;Carol;Rai;Carol Rai;Female;9/3/2022;Chula Vista;Banfield
11050;Alan;Zheng;Alan Zheng;Male;20/2/2020;Hobart;San Salvador de Jujuy
11051;Daniel;Johnson;Daniel Johnson;Male;29/12/2022;Caloundra;San Fernando del Valle de Catamarca
11052;Heidi;Lopez;Heidi Lopez;Female;17/2/2020;Matraville;Posadas
11053;Ana;Price;Ana Price;Female;17/1/2022;San Diego;Salta
11054;Deanna;Munoz;Deanna Munoz;Female;3/2/2020;Geelong;San Luis
11055;Gilbert;Raje;Gilbert Raje;Male;31/1/2020;East Brisbane;Gregorio de Laferrere
11056;Michele;Nath;Michele Nath;Female;26/2/2020;Newcastle;Corrientes
11057;Carl;Andersen;Carl Andersen;Male;22/2/2020;Lane Cove;San Luis
11058;Marc;Diaz;Marc Diaz;Male;9/3/2020;Findon;Córdoba
11059;Ashlee;Andersen;Ashlee Andersen;Female;18/2/2022;Townsville;Rosario
11060;Jon;Zhou;Jon Zhou;Male;19/3/2020;Warrnambool;José C. Paz
11061;Todd;Gao;Todd Gao;Male;13/3/2020;Gold Coast;Resistencia
11062;Noah;Powell;Noah Powell;Male;7/1/2022;Portland;San Miguel de Tucumán
11063;Angela;Murphy;Angela Murphy;Female;12/1/2022;Redmond;Formosa
11064;Chase;Reed;Chase Reed;Male;25/1/2022;Downey;Godoy Cruz
11065;Jessica;Henderson;Jessica Henderson;Female;10/2/2022;La Jolla;Salta
11066;Grace;Butler;Grace Butler;Female;31/5/2022;Lebanon;Neuquén
11067;Caleb;Carter;Caleb Carter;Male;18/8/2022;Port Orchard;Santa Fe
11068;Tiffany;Liang;Tiffany Liang;Female;30/4/2022;Warrnambool;José C. Paz
11069;Carolyn;Navarro;Carolyn Navarro;Female;17/4/2020;Gold Coast;Resistencia
11070;Willie;Raji;Willie Raji;Male;28/4/2020;Sunbury;San Miguel de Tucumán
11071;Linda;Serrano;Linda Serrano;Female;1/3/2022;Hawthorne;Neuquén
11072;Casey;Luo;Casey Luo;Female;31/3/2020;St. Leonards;Isidro Casanova
11073;Amy;Ye;Amy Ye;Female;23/3/2022;Springwood;Corrientes
11074;Levi;Arun;Levi Arun;Male;23/3/2022;Cloverdale;Bahía Blanca
11075;Felicia;Jimenez;Felicia Jimenez;Female;28/4/2020;Bendigo;Paraná
11076;Blake;Anderson;Blake Anderson;Male;21/4/2020;Wollongong;Santiago del Estero
11077;Leah;Ye;Leah Ye;Female;15/4/2020;Melton;Bahía Blanca
11078;Gina;Martin;Gina Martin;Female;15/2/2022;Cliffside;Berazategui
11079;Donald;Gonzalez;Donald Gonzalez;Male;15/3/2022;Geelong;San Luis
11080;Damien;Chander;Damien Chander;Male;10/4/2020;Perth;Resistencia
11081;Savannah;Baker;Savannah Baker;Female;12/2/2022;Concord;La Plata
11082;Angela;Butler;Angela Butler;Female;22/1/2022;Fremont;José C. Paz
11083;Alyssa;Cox;Alyssa Cox;Female;6/1/2022;Lincoln Acres;Merlo
11084;Lucas;Phillips;Lucas Phillips;Male;4/1/2022;Lebanon;Neuquén
11085;Emily;Johnson;Emily Johnson;Female;6/12/2022;Newport Beach;Quilmes
11086;Ryan;Brown;Ryan Brown;Male;2/7/2022;Santa Monica;San Salvador de Jujuy
11087;Tamara;Liang;Tamara Liang;Female;25/2/2022;Chula Vista;Banfield
11088;Hunter;Davis;Hunter Davis;Male;13/1/2022;San Diego;Salta
11089;Abigail;Price;Abigail Price;Female;29/12/2021;Long Beach;Quilmes
11090;Trevor;Bryant;Trevor Bryant;Male;7/8/2020;Los Angeles;Buenos Aires
11091;Dalton;Perez;Dalton Perez;Male;29/1/2022;Haney;Río Cuarto
11092;Cheryl;Diaz;Cheryl Diaz;Female;8/4/2020;East Brisbane;Gregorio de Laferrere
11093;Aimee;He;Aimee He;Female;7/4/2020;Wollongong;Santiago del Estero
11094;Cedric;Ma;Cedric Ma;Male;7/4/2022;Cranbourne;La Plata
11095;Chad;Kumar;Chad Kumar;Male;1/4/2020;Port Macquarie;Gregorio de Laferrere
11096;AndrÃ©s;Anand;AndrÃ©s Anand;Male;11/4/2020;North Sydney;Mar del Plata
11097;Edwin;Nara;Edwin Nara;Male;4/4/2020;Warrnambool;José C. Paz
11098;Mallory;Rubio;Mallory Rubio;Female;11/2/2022;Rhodes;Buenos Aires
11099;Adam;Ross;Adam Ross;Male;7/4/2020;Port Macquarie;Gregorio de Laferrere
11100;Latasha;Navarro;Latasha Navarro;Female;16/4/2020;Cloverdale;Bahía Blanca
11101;Abby;Sai;Abby Sai;Female;29/4/2020;Cranbourne;La Plata
11102;Julia;Nelson;Julia Nelson;Female;16/7/2022;Sydney;Córdoba
11103;Cassie;Chande;Cassie Chande;Female;15/4/2020;Darlinghurst;Córdoba
11104;Edgar;Sara;Edgar Sara;Male;4/5/2020;Gold Coast;Resistencia
11105;Candace;Fernandez;Candace Fernandez;Female;14/5/2020;Matraville;Posadas
11106;Jessie;Liu;Jessie Liu;Male;18/5/2020;Warrnambool;José C. Paz
11107;Bianca;Lin;Bianca Lin;Female;1/5/2020;St. Leonards;Isidro Casanova
11108;Kari;Alvarez;Kari Alvarez;Female;3/5/2020;Port Macquarie;Gregorio de Laferrere
11109;Ruben;Kapoor;Ruben Kapoor;Male;10/5/2020;South Melbourne;Rosario
11110;Curtis;Yang;Curtis Yang;Male;1/5/2020;Darlinghurst;Córdoba
11111;Meredith;Gutierrez;Meredith Gutierrez;Female;20/5/2020;Geelong;San Luis
11112;Crystal;Wang;Crystal Wang;Female;25/5/2020;Hervey Bay;Banfield
11113;Micheal;Blanco;Micheal Blanco;Male;1/2/2022;Perth;Resistencia
11114;Leslie;Moreno;Leslie Moreno;Female;18/3/2022;Rhodes;Buenos Aires
11115;Alvin;Cai;Alvin Cai;Male;10/2/2022;St. Leonards;Isidro Casanova
11116;Clinton;Carlson;Clinton Carlson;Male;15/3/2022;Sydney;Córdoba
11117;April;Deng;April Deng;Female;6/5/2020;Matraville;Posadas
11118;Alvin;Zeng;Alvin Zeng;Male;10/7/2022;Lavender Bay;San Miguel de Tucumán
11119;Evan;James;Evan James;Male;3/2/2022;Port Macquarie;Gregorio de Laferrere
11120;Beth;JimÃ©nez;Beth JimÃ©nez;Female;14/5/2020;Sydney;Córdoba
11121;Orlando;Suarez;Orlando Suarez;Male;24/6/2022;Newcastle;Corrientes
11122;Byron;Vazquez;Byron Vazquez;Male;21/2/2022;North Sydney;Mar del Plata
11123;Philip;Alvarez;Philip Alvarez;Male;17/4/2022;Sunbury;San Miguel de Tucumán
11124;Ross;Jordan;Ross Jordan;Male;5/5/2020;Warrnambool;José C. Paz
11125;Dana;Navarro;Dana Navarro;Female;31/1/2022;Seaford;Quilmes
11126;Shaun;Carson;Shaun Carson;Male;28/5/2020;North Ryde;Guaymallén
11127;Jan;Edwards;Jan Edwards;Female;10/4/2022;San Gabriel;Virrey del Pino
11128;Samantha;Long;Samantha Long;Female;19/6/2022;Renton;Lanús
11129;Julia;Wright;Julia Wright;Female;6/8/2020;Sedro Woolley;Lanús
11130;Caroline;Russell;Caroline Russell;Female;9/12/2022;Lebanon;Neuquén
11131;Amanda;Rivera;Amanda Rivera;Female;18/10/2022;Haney;Río Cuarto
11132;Melissa;Richardson;Melissa Richardson;Female;9/4/2022;Langford;Corrientes
11133;Angela;Griffin;Angela Griffin;Female;30/12/2022;Lake Oswego;Godoy Cruz
11134;Larry;Townsend;Larry Townsend;Male;3/5/2020;Perth;Resistencia
11135;Marcus;Harris;Marcus Harris;Male;18/4/2022;Burlingame;Isidro Casanova
11136;Brianna;Morgan;Brianna Morgan;Female;3/1/2022;Metchosin;Salta
11137;Jasmine;Taylor;Jasmine Taylor;Female;31/7/2022;Spokane;Las Heras
11138;Lauren;Davis;Lauren Davis;Female;19/9/2022;Glendale;Moreno
11139;Tanya;Moreno;Tanya Moreno;Female;14/9/2022;Cloverdale;Bahía Blanca
11140;Javier;Alvarez;Javier Alvarez;Male;19/3/2022;Burbank;Gregorio de Laferrere
11141;Nicole;Ramirez;Nicole Ramirez;Female;16/5/2022;Daly City;Berazategui
11142;Eduardo;Patterson;Eduardo Patterson;Male;13/2/2022;Langford;Corrientes
11143;Jonathan;Henderson;Jonathan Henderson;Male;15/6/2022;Lakewood;Berazategui
11144;Edward;Hernandez;Edward Hernandez;Male;25/1/2022;Ballard;Comodoro Rivadavia
11145;Jasmine;Coleman;Jasmine Coleman;Female;25/1/2022;Beaverton;Guaymallén
11146;Karla;Goel;Karla Goel;Female;5/2/2022;Matraville;Posadas
11147;Ernest;Wu;Ernest Wu;Male;13/5/2020;Warrnambool;José C. Paz
11148;Ross;Vazquez;Ross Vazquez;Male;7/3/2022;East Brisbane;Gregorio de Laferrere
11149;Theodore;Gill;Theodore Gill;Male;4/6/2022;Hervey Bay;Banfield
11150;Russell;Shen;Russell Shen;Male;27/3/2022;Sunbury;San Miguel de Tucumán
11151;Melinda;Gill;Melinda Gill;Female;15/5/2020;Sydney;Córdoba
11152;James;Williams;James Williams;Male;9/1/2022;Puyallup;Las Heras
11153;Angela;James;Angela James;Female;29/3/2022;Renton;Lanús
11154;Megan;Walker;Megan Walker;Female;10/1/2022;Woodburn;Resistencia
11155;Hunter;Robinson;Hunter Robinson;Male;6/1/2022;Burbank;Gregorio de Laferrere
11156;Maria;Roberts;Maria Roberts;Female;8/1/2022;Lakewood;Berazategui
11157;Hannah;Long;Hannah Long;Female;24/7/2022;Tacoma;Posadas
11158;Jason;Wright;Jason Wright;Male;19/1/2022;San Gabriel;Virrey del Pino
11159;Brianna;Hughes;Brianna Hughes;Female;8/9/2022;Woodland Hills;La Rioja
11160;Maurice;Tang;Maurice Tang;Male;21/2/2022;Concord;La Plata
11161;Emily;Wood;Emily Wood;Female;1/6/2022;Concord;La Plata
11162;Chase;Cox;Chase Cox;Male;18/2/2022;La Jolla;Salta
11163;Gabriel;Wang;Gabriel Wang;Male;1/5/2022;Spring Valley;Isidro Casanova
11164;Devin;Brooks;Devin Brooks;Male;27/4/2022;Torrance;Comodoro Rivadavia
11165;Jocelyn;Alexander;Jocelyn Alexander;Female;25/5/2022;Oakland;Merlo
11166;Ashley;Martinez;Ashley Martinez;Female;14/10/2022;Olympia;Moreno
11167;Jasmine;Barnes;Jasmine Barnes;Female;7/1/2022;Issaquah;Córdoba
11168;David;Rodriguez;David Rodriguez;Male;15/1/2022;Oakland;Merlo
11169;Bryce;Richardson;Bryce Richardson;Male;26/5/2022;Coronado;Rosario
11170;Carol;Howard;Carol Howard;Female;26/8/2022;Burien;Mar del Plata
11171;Jonathan;Hill;Jonathan Hill;Male;20/8/2020;Woodland Hills;La Rioja
11172;Gabrielle;Adams;Gabrielle Adams;Female;3/5/2022;Lynnwood;San Miguel de Tucumán
11173;Sarah;Thomas;Sarah Thomas;Female;2/3/2022;W. Linn;Salta
11174;Nicholas;Robinson;Nicholas Robinson;Male;13/7/2022;Los Angeles;Buenos Aires
11175;Luis;Wang;Luis Wang;Male;28/8/2020;Beverly Hills;Santa Fe
11176;Mason;Roberts;Mason Roberts;Male;2/2/2022;Haney;Río Cuarto
11177;Jose;Flores;Jose Flores;Male;29/3/2022;San Diego;Salta
11178;Nathan;Johnson;Nathan Johnson;Male;21/2/2022;Lakewood;Berazategui
11179;Molly;Rodriguez;Molly Rodriguez;Female;12/3/2022;Beverly Hills;Santa Fe
11180;April;Anand;April Anand;Female;17/3/2022;Chula Vista;Banfield
11181;Devin;Martin;Devin Martin;Male;7/5/2022;Los Angeles;Buenos Aires
11182;Stephanie;Torres;Stephanie Torres;Female;28/8/2022;Sedro Woolley;Lanús
11183;Jasmine;Lee;Jasmine Lee;Female;30/4/2022;Santa Cruz;Corrientes
11184;Meghan;Hernandez;Meghan Hernandez;Female;10/8/2022;Concord;La Plata
11185;Ashley;Henderson;Ashley Henderson;Female;21/2/2022;Metchosin;Salta
11186;Sarah;Price;Sarah Price;Female;18/10/2022;Palo Alto;Bahía Blanca
11187;Jennifer;Cooper;Jennifer Cooper;Female;3/4/2022;Burien;Mar del Plata
11188;Catherine;Morris;Catherine Morris;Female;1/11/2022;San Gabriel;Virrey del Pino
11189;Lawrence;Blanco;Lawrence Blanco;Male;26/8/2020;Bellingham;Santa Fe
11190;Carson;Bryant;Carson Bryant;Male;28/8/2022;Beverly Hills;Santa Fe
11191;Kristi;Perez;Kristi Perez;Female;11/8/2020;Colma;Resistencia
11192;James;Brown;James Brown;Male;23/6/2022;Seattle;Mar del Plata
11193;Ian;Gray;Ian Gray;Male;25/2/2022;Woodburn;Resistencia
11194;Jacqueline;Price;Jacqueline Price;Female;13/3/2022;Palo Alto;Bahía Blanca
11195;Megan;Henderson;Megan Henderson;Female;14/4/2022;Renton;Lanús
11196;Alfredo;Romero;Alfredo Romero;Male;3/3/2022;Beaverton;Guaymallén
11197;Andrea;Morris;Andrea Morris;Female;2/5/2022;Seattle;Mar del Plata
11198;Brooke;Sanders;Brooke Sanders;Female;5/2/2022;Santa Cruz;Corrientes
11199;Jacqueline;Bennett;Jacqueline Bennett;Female;18/3/2022;Burlingame;Isidro Casanova
11200;Jason;Griffin;Jason Griffin;Male;7/2/2022;Victoria;Merlo
11201;Amanda;Foster;Amanda Foster;Female;1/7/2022;Santa Monica;San Salvador de Jujuy
11202;Alexia;Price;Alexia Price;Female;15/9/2022;Lakewood;Berazategui
11203;Luis;Diaz;Luis Diaz;Male;20/2/2022;Port Hammond;Quilmes
11204;Destiny;Rivera;Destiny Rivera;Female;9/8/2022;Beaverton;Guaymallén
11205;Abby;Fernandez;Abby Fernandez;Female;27/7/2022;Burien;Mar del Plata
11206;Blake;Flores;Blake Flores;Male;11/5/2022;Lynnwood;San Miguel de Tucumán
11207;Danielle;Cox;Danielle Cox;Female;31/1/2022;Renton;Lanús
11208;Maria;Reed;Maria Reed;Female;4/3/2022;Glendale;Moreno
11209;Allison;Evans;Allison Evans;Female;25/3/2022;Lincoln Acres;Merlo
11210;Edward;Wood;Edward Wood;Male;6/5/2022;West Covina;San Salvador de Jujuy
11211;Samantha;Russell;Samantha Russell;Female;1/2/2022;Haney;Río Cuarto
11212;Chloe;Campbell;Chloe Campbell;Female;30/1/2022;Metchosin;Salta
11213;Stephanie;Murphy;Stephanie Murphy;Female;28/3/2022;Edmonds;San Miguel
11214;Charles;Miller;Charles Miller;Male;14/8/2022;Milwaukie;Santiago del Estero
11215;Ana;Perry;Ana Perry;Female;15/2/2022;Royal Oak;Gregorio de Laferrere
11216;Jasmine;Torres;Jasmine Torres;Female;15/8/2020;Portland;San Miguel de Tucumán
11217;Natalie;Adams;Natalie Adams;Female;10/8/2020;Portland;San Miguel de Tucumán
11218;Olivia;Brown;Olivia Brown;Female;28/2/2022;Tacoma;Posadas
11219;Charles;Cook;Charles Cook;Male;29/10/2022;Woodburn;Resistencia
11220;Erica;Huang;Erica Huang;Female;14/3/2022;Colma;Resistencia
11221;Nathan;Perry;Nathan Perry;Male;7/4/2022;Lakewood;Berazategui
11222;Alexandra;Rivera;Alexandra Rivera;Female;1/11/2022;Santa Monica;San Salvador de Jujuy
11223;Hailey;Patterson;Hailey Patterson;Female;29/1/2022;Langley;Santa Fe
11224;Tiffany;Li;Tiffany Li;Female;7/8/2020;Burien;Mar del Plata
11225;Madison;Lee;Madison Lee;Female;22/6/2022;Renton;Lanús
11226;Sydney;Ross;Sydney Ross;Female;21/2/2022;W. Linn;Salta
11227;Marshall;Chavez;Marshall Chavez;Male;3/8/2020;Colma;Resistencia
11228;Ashley;Jones;Ashley Jones;Female;25/10/2022;El Cajon;José C. Paz
11229;Adrian;Stewart;Adrian Stewart;Male;27/7/2022;Redwood City;Paraná
11230;Amber;Turner;Amber Turner;Female;16/7/2022;Santa Monica;San Salvador de Jujuy
11231;Dennis;Zhang;Dennis Zhang;Male;10/2/2022;Bremerton;González Catán
11232;Hailey;Bryant;Hailey Bryant;Female;20/9/2022;Everett;Banfield
11233;Todd;Li;Todd Li;Male;8/2/2022;Berkeley;Paraná
11234;Anna;Griffin;Anna Griffin;Female;8/2/2022;Long Beach;Quilmes
11235;Angel;Stewart;Angel Stewart;Male;4/7/2022;Ballard;Comodoro Rivadavia
11236;Jeremy;Butler;Jeremy Butler;Male;3/10/2022;Bellingham;Santa Fe
11237;Clarence;Anand;Clarence Anand;Male;5/9/2020;Solingen;Neuquén
11238;Mayra;Prasad;Mayra Prasad;Female;6/1/2020;Birmingham;Formosa
11239;Latoya;Goel;Latoya Goel;Female;19/1/2020;London;Lanús
11240;Anne;Hernandez;Anne Hernandez;Female;27/2/2020;Watford;La Plata
11241;Lisa;Cai;Lisa Cai;Female;10/9/2021;Les Ulis;Godoy Cruz
11242;Larry;Munoz;Larry Munoz;Male;19/9/2021;Versailles;Isidro Casanova
11243;Robin;Alvarez;Robin Alvarez;Female;21/2/2020;Esher-Molesey;Las Heras
11244;Alexis;Coleman;Alexis Coleman;Female;12/2/2020;Runcorn;Berazategui
11245;Ricky;Vazquez;Ricky Vazquez;Male;26/9/2020;Hamburg;La Rioja
11246;Latasha;Rubio;Latasha Rubio;Female;3/10/2020;Hamburg;La Rioja
11247;Claudia;Zhou;Claudia Zhou;Female;18/2/2020;Lancaster;Comodoro Rivadavia
11248;Tristan;Alexander;Tristan Alexander;Male;14/7/2022;Saint-Denis;Moreno
11249;Cindy;Patel;Cindy Patel;Female;9/10/2020;Sulzbach Taunus;San Luis
11250;Shannon;Liu;Shannon Liu;Female;17/3/2020;Woolston;San Miguel
11251;Xavier;Long;Xavier Long;Male;18/10/2022;Haney;Río Cuarto
11252;Nicholas;Thompson;Nicholas Thompson;Male;14/8/2020;Lemon Grove;San Fernando del Valle de Catamarca
11253;JosÃ©;Hernandez;JosÃ© Hernandez;Male;1/3/2022;Victoria;Merlo
11254;Johnathan;Vance;Johnathan Vance;Male;23/11/2022;Burien;Mar del Plata
11255;Colin;Lin;Colin Lin;Male;23/2/2022;Burien;Mar del Plata
11256;Katelyn;Hernandez;Katelyn Hernandez;Female;15/4/2022;Lynnwood;San Miguel de Tucumán
11257;Jacqueline;Powell;Jacqueline Powell;Female;24/8/2020;Newport Beach;Quilmes
11258;Xavier;Hill;Xavier Hill;Male;21/5/2022;Palo Alto;Bahía Blanca
11259;Victoria;Stewart;Victoria Stewart;Female;4/9/2020;Salem;Río Cuarto
11260;Katelyn;Kelly;Katelyn Kelly;Female;5/2/2022;Burlingame;Isidro Casanova
11261;Stephanie;Collins;Stephanie Collins;Female;27/9/2020;San Diego;Salta
11262;Jennifer;Simmons;Jennifer Simmons;Female;27/2/2022;Port Hammond;Quilmes
11263;Trinity;Richardson;Trinity Richardson;Female;29/8/2020;Burien;Mar del Plata
11264;Eduardo;Martin;Eduardo Martin;Male;2/1/2022;Issaquah;Córdoba
11265;Elizabeth;Jones;Elizabeth Jones;Female;3/1/2022;Kirkland;Virrey del Pino
11266;Taylor;Howard;Taylor Howard;Female;10/9/2020;Port Orchard;Santa Fe
11267;David;Diaz;David Diaz;Male;17/9/2020;Burlingame;Isidro Casanova
11268;Katelyn;Carter;Katelyn Carter;Female;29/5/2022;Coronado;Rosario
11269;Ryan;Foster;Ryan Foster;Male;22/8/2022;Daly City;Berazategui
11270;Robert;Lee;Robert Lee;Male;10/9/2020;Lakewood;Berazategui
11271;Danielle;Reed;Danielle Reed;Female;27/9/2020;San Francisco;González Catán
11272;Lauren;Martinez;Lauren Martinez;Female;19/9/2020;Beverly Hills;Santa Fe
11273;Nathan;Lal;Nathan Lal;Male;14/5/2022;La Jolla;Salta
11274;Kyle;Foster;Kyle Foster;Male;29/8/2020;Bellingham;Santa Fe
11275;Jenny;Rai;Jenny Rai;Female;30/8/2020;Colma;Resistencia
11276;Nancy;Chapman;Nancy Chapman;Female;29/1/2022;Cliffside;Berazategui
11277;Charles;Jackson;Charles Jackson;Male;2/2/2022;Royal Oak;Gregorio de Laferrere
11278;Jonathan;Phillips;Jonathan Phillips;Male;16/9/2020;Edmonds;San Miguel
11279;Amanda;Cook;Amanda Cook;Female;3/3/2022;Everett;Banfield
11280;Robert;Collins;Robert Collins;Male;1/7/2022;Lynnwood;San Miguel de Tucumán
11281;Megan;Barnes;Megan Barnes;Female;13/9/2020;Burbank;Gregorio de Laferrere
11282;Christian;Thomas;Christian Thomas;Male;31/8/2020;Burien;Mar del Plata
11283;Arturo;Lal;Arturo Lal;Male;29/5/2022;Berkeley;Paraná
11284;Theresa;Serrano;Theresa Serrano;Female;6/2/2022;Chula Vista;Banfield
11285;Jeremy;Anderson;Jeremy Anderson;Male;27/7/2022;Fremont;José C. Paz
11286;Hunter;Griffin;Hunter Griffin;Male;21/9/2020;Torrance;Comodoro Rivadavia
11287;Henry;Garcia;Henry Garcia;Male;29/1/2022;Cliffside;Berazategui
11288;Cindy;Sanchez;Cindy Sanchez;Female;5/3/2022;Burbank;Gregorio de Laferrere
11289;Maria;Carter;Maria Carter;Female;8/9/2020;Downey;Godoy Cruz
11290;Katelyn;Sanchez;Katelyn Sanchez;Female;20/9/2020;Lakewood;Berazategui
11291;Jenna;Wright;Jenna Wright;Female;4/9/2020;Lemon Grove;San Fernando del Valle de Catamarca
11292;Seth;Phillips;Seth Phillips;Male;15/9/2020;San Gabriel;Virrey del Pino
11293;Luke;Long;Luke Long;Male;24/2/2022;Port Orchard;Santa Fe
11294;Dalton;Clark;Dalton Clark;Male;25/9/2022;Issaquah;Córdoba
11295;Taylor;Lewis;Taylor Lewis;Female;25/9/2020;Concord;La Plata
11296;Haley;Richardson;Haley Richardson;Female;1/9/2020;Everett;Banfield
11297;Noah;Coleman;Noah Coleman;Male;26/9/2020;Burbank;Gregorio de Laferrere
11298;Jon;Luo;Jon Luo;Male;12/9/2020;Chula Vista;Banfield
11299;Orlando;Vazquez;Orlando Vazquez;Male;26/9/2020;Burbank;Gregorio de Laferrere
11300;Fernando;Barnes;Fernando Barnes;Male;31/1/2022;N. Vancouver;Córdoba
11301;Cameron;Rodriguez;Cameron Rodriguez;Male;9/6/2022;Ballard;Comodoro Rivadavia
11302;Spencer;Russell;Spencer Russell;Male;6/9/2020;Corvallis;Rosario
11303;Julia;Coleman;Julia Coleman;Female;2/9/2020;Edmonds;San Miguel
11304;Julia;Garcia;Julia Garcia;Female;20/3/2022;Portland;San Miguel de Tucumán
11305;Sean;Evans;Sean Evans;Male;25/3/2022;Chula Vista;Banfield
11306;Micah;Zhou;Micah Zhou;Male;30/6/2022;Coronado;Rosario
11307;Hunter;Rodriguez;Hunter Rodriguez;Male;4/9/2020;Daly City;Berazategui
11308;Ian;Gonzales;Ian Gonzales;Male;7/9/2022;Oregon City;Mar del Plata
11309;Victoria;Lewis;Victoria Lewis;Female;9/7/2022;Beaverton;Guaymallén
11310;Erin;Sanders;Erin Sanders;Female;12/8/2022;San Francisco;González Catán
11311;Gabrielle;Lopez;Gabrielle Lopez;Female;18/4/2022;Lynnwood;San Miguel de Tucumán
11312;Sara;Richardson;Sara Richardson;Female;17/5/2022;Lynnwood;San Miguel de Tucumán
11313;Trevor;Jenkins;Trevor Jenkins;Male;7/5/2022;Port Orchard;Santa Fe
11314;Mya;Flores;Mya Flores;Female;25/2/2022;Issaquah;Córdoba
11315;Hailey;Ward;Hailey Ward;Female;20/5/2022;Port Orchard;Santa Fe
